Iteration,RMSE,Time,method
0,12.1326,0,hogwild
0,12.1116,1,hogwild
0,11.9313,1,hogwild
0,11.7627,24,hogwild
0,11.7424,24,hogwild
0,11.7107,24,hogwild
0,11.773,0,hogwild
0,11.4872,27,hogwild
0,11.08,25,hogwild
100,10.7634,38,hogwild
100,10.4309,35,hogwild
100,9.11752,63,hogwild
100,8.87001,65,hogwild
100,9.26558,62,hogwild
100,8.03069,77,hogwild
0,9.19849,61,hogwild
200,7.84759,79,hogwild
100,8.19606,76,hogwild
100,9.12807,61,hogwild
200,7.20849,98,hogwild
100,7.80111,77,hogwild
200,7.02613,100,hogwild
200,7.32075,93,hogwild
200,6.83735,102,hogwild
300,6.22177,119,hogwild
100,6.29271,117,hogwild
200,6.34701,114,hogwild
300,5.75721,133,hogwild
300,5.52459,135,hogwild
200,5.9149,124,hogwild
200,5.43715,135,hogwild
300,5.34452,141,hogwild
300,5.43507,136,hogwild
200,5.74672,125,hogwild
400,5.10114,157,hogwild
400,4.78262,168,hogwild
400,4.71857,171,hogwild
200,4.79725,165,hogwild
400,4.46571,180,hogwild
300,4.58368,178,hogwild
300,4.79892,166,hogwild
300,4.28552,188,hogwild
300,4.37681,180,hogwild
400,4.29522,187,hogwild
500,4.16723,197,hogwild
500,4.05244,205,hogwild
500,4.0066,207,hogwild
500,3.82631,219,hogwild
400,3.65234,229,hogwild
300,3.85586,218,hogwild
400,3.78232,220,hogwild
600,3.53147,238,hogwild
400,3.70008,221,hogwild
600,3.45306,244,hogwild
400,3.64673,227,hogwild
500,3.56702,234,hogwild
600,3.41501,244,hogwild
600,3.33965,258,hogwild
500,3.25699,266,hogwild
400,3.20961,268,hogwild
700,3.11207,277,hogwild
700,3.06664,282,hogwild
500,3.13979,271,hogwild
700,2.97364,288,hogwild
600,2.9812,285,hogwild
500,3.05462,277,hogwild
700,2.91473,296,hogwild
500,3.01092,283,hogwild
800,2.75778,314,hogwild
800,2.73824,317,hogwild
600,2.79715,312,hogwild
800,2.6582,325,hogwild
600,2.66392,324,hogwild
500,2.69202,313,hogwild
600,2.55248,336,hogwild
800,2.56761,334,hogwild
700,2.56378,334,hogwild
900,2.45396,355,hogwild
900,2.46631,354,hogwild
600,2.54694,334,hogwild
700,2.42346,356,hogwild
900,2.38505,368,hogwild
700,2.36739,374,hogwild
900,2.31006,380,hogwild
700,2.31587,379,hogwild
600,2.32973,376,hogwild
800,2.27029,383,hogwild
700,2.20463,398,hogwild
800,2.1757,408,hogwild
800,2.12831,420,hogwild
700,2.09147,428,hogwild
800,2.09921,423,hogwild
900,2.07871,433,hogwild
800,2.04895,449,hogwild
900,2.02146,459,hogwild
900,2.00349,470,hogwild
900,1.97183,482,hogwild
800,1.97773,476,hogwild
900,1.93874,495,hogwild
900,1.87288,528,hogwild
